"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 15 01:47:18 GMT 2023","Sun Oct 15 01:47:19 GMT 2023","1092","tests","test_main_page","TestMainPage","","","TC 13.01.44 - Check block 1 'home-pants' in section 2 of the Promo Block is present in the DOM tree","This test checks if block 1 'home-pants' in section 2 in the Promo Block is present
            in the DOM tree on the main page"
"passed","Sun Oct 15 01:49:10 GMT 2023","Sun Oct 15 01:49:11 GMT 2023","1377","tests","test_men","TestMenPagePromoBlock","","","TC 14.06.23 Verify that the 'Luma shorts' text is visible.","Verify that text-1 in 'Luma shorts' block correctly displayed"
"passed","Sun Oct 15 01:46:46 GMT 2023","Sun Oct 15 01:46:47 GMT 2023","1304","tests","test_main_page","TestMainPage","","","TC 13.01.31 - Check the display of the image in block 4 'home-performance' in the Promo Block","This test checks if the image in section 2 block 4 'home-performance' is correct
            in the Promo Block under header on the main page"
"broken","Sun Oct 15 01:22:40 GMT 2023","Sun Oct 15 01:22:46 GMT 2023","5360","tests","test_footer","TestFooter","","","TC 02.01.52 - Check 'Subscribe to our mailing list' link is present in the DOM tree on each page specified in DATA_1","Checks if 'Subscribe to our mailing list' link is present in the DOM tree on each page
        specified in DATA_1"
"broken","Sun Oct 15 01:17:14 GMT 2023","Sun Oct 15 01:17:20 GMT 2023","5358","tests","test_footer","TestFooter","","","TC 02.01.15 - Check if Advanced Search link is clickable on each page specified in DATA_1","This test checks if Advanced Search link is clickable on each page specified in DATA_1"
"broken","Sun Oct 15 01:26:39 GMT 2023","Sun Oct 15 01:26:44 GMT 2023","5134","tests","test_forgot_your_password","TestForgotYourPassword","","","TC 17.01.16 Verify click Reload captcha button generates a new captcha image","
        Check that the 'Reload captcha' button generates a new captcha image
        and ensure the new image source is different from the original image source
        "
"passed","Sun Oct 15 01:57:41 GMT 2023","Sun Oct 15 01:57:41 GMT 2023","169","tests","test_sign_in","TestNewCustomers","","","TC 03.01.19 Verify New Customers Heading","Check New Customers Heading is present "
"passed","Sun Oct 15 01:46:33 GMT 2023","Sun Oct 15 01:46:38 GMT 2023","4729","tests","test_main_page","TestMainPage","","","TC 13.01.27 - Check the display of the info block in block 3 'home-erin' in the Promo Block","This test checks if info block in section 2 block 3 'home-erin' is displayed
            in the Promo Block under header on the main page"
"passed","Sun Oct 15 01:57:06 GMT 2023","Sun Oct 15 01:57:07 GMT 2023","280","tests","test_sign_in","TestRegisteredCustomers","","","TC 03.01.06 Verify Email field is appropriately labeled","Check if Email field is appropriately labeled "
"passed","Sun Oct 15 01:48:52 GMT 2023","Sun Oct 15 01:48:54 GMT 2023","2314","tests","test_men","TestMenPage","","","TC 14.04.03 Verify the link 'Pants' redirects to a correct page.","Verify that the link 'Pants' correctly opens and redirects to a new webpage, the header 'Pants' is
              displayed"
"broken","Sun Oct 15 01:26:06 GMT 2023","Sun Oct 15 01:26:11 GMT 2023","5126","tests","test_forgot_your_password","TestForgotYourPassword","","","TC 17.01.11 Verify FYP captcha input field is appropriately labeled","Check if Email field is appropriately labeled "
"passed","Sun Oct 15 01:53:32 GMT 2023","Sun Oct 15 01:53:32 GMT 2023","299","tests","test_sale","TestSalePage","","","TC 10.04.08 - Verify the text in 2 columns block - Gear Deals","Check title-text and content-text in 2 columns block - Gear Deals"
"skipped","Sun Oct 15 01:58:13 GMT 2023","Sun Oct 15 01:58:13 GMT 2023","0","tests","test_sign_in","TestFailedLogin","","","TC 03.02.01 to 03_02_10 Verify and Failed Login, no error validation","Check Success and Failed Login, no error validation"
"passed","Sun Oct 15 01:47:38 GMT 2023","Sun Oct 15 01:47:39 GMT 2023","1200","tests","test_main_page","TestMainPage","","","TC 13.01.53 - Check if block 4 'home-performance' in section 2 is clickablein the Promo Block on the main page","This test checks if block 4 'home-performance' in section 2 in Promo Block under header is clickable"
